sample_id,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,comp_11,comp_12,comp_13,comp_14,comp_15
ACCx-TCGA-OR-A5J2-01A-31-A616-42-X013-S12,0.0,0.010650493807961616,0.0,0.0032726528845928426,0.008509313266455187,0.0014652733758008436,0.0,0.00320390924981213,0.0006562199640978284,0.004716123095330854,0.0,0.0037116376932981405,0.0,0.8600385627150997,0.0849963179318839,0.018779495258535825
ACCx-TCGA-OR-A5J3-01A-31-A616-42-X011-S06,0.0,0.009380833504449944,0.0,0.003959998381751647,0.012178830321088744,0.0,0.002845805761371032,0.0,0.005376332352017796,0.0010665076336652728,0.0,0.0,0.0,0.9651916913091508,0.0,0.0
ACCx-TCGA-OR-A5J6-01A-11-A616-42-X010-S09,0.0,0.0,0.0,0.015339587344367722,0.08212458517022218,0.0,0.0,0.0,0.0,0.00026124644566772226,0.0,0.00391145138787526,0.0,0.8669605870262492,0.0,0.031402541681193545
ACCx-TCGA-OR-A5J9-01A-31-A616-42-X020-S02,0.0,0.00941253006614204,0.0,0.0043597224480445874,0.0,0.0,0.0,0.0,0.0,0.0007545295064337153,0.01246234915768252,0.024234527195041964,0.05007558277356997,0.8639929169369639,0.02291024919745891,0.011797592052425374
ACCx-TCGA-OR-A5JZ-01A-12-A645-42-X038-S03,0.0,0.02575526019898604,0.0002782521901156168,0.0018252585230590322,0.026658275307185467,0.0,0.0024809565599769024,0.0,0.013066094373528734,0.001955292060268051,0.0,0.0,0.0,0.921144646472299,0.0,0.006835963547948572
ACCx-TCGA-OR-A5K8-01A-31-A644-42-X034-S09,0.0,0.007057018561600474,0.00002102267144571317,0.0023403453419316806,0.007464534133479785,0.0,0.0015718738245679667,0.0,0.003675712446593762,0.0,0.0,0.0,0.0,0.9778694923559889,0.0,0.0
ACCx-TCGA-OR-A5KX-01A-22-A645-42-X027-S03,0.0004670979575013985,0.004784893688248066,0.001742643928086806,0.0068795520757181546,0.0,0.000715354779772576,0.0,0.0,0.0,0.0,0.020329647096427865,0.02463237422684619,0.0,0.9130652611118639,0.008775751167390038,0.018607423215840538
ACCx-TCGA-PA-A5YG-01A-31-A644-42-X035-S02,0.0,0.013824632382468942,0.0,0.0068149354287088595,0.04125264426658582,0.0,0.0,0.0,0.0,0.0022898755290878467,0.0,0.0,0.0,0.9248414843544581,0.0,0.010976427276025953
ACCx-TCGA-PK-A5H8-01A-22-A617-42-X012-S05,0.0,0.0055697734121754276,0.00144007214787396,0.006068839027875116,0.0020906738949039746,0.00014438799647070998,0.0,0.0,0.0,0.0,0.0,0.01107602159416942,0.0,0.951438757943548,0.0,0.022171473293172088
BLCA-TCGA-BL-A13J-01A-22-A616-42-X022-S12,0.24099443308709204,0.005117794704254591,0.03103023957939052,0.0,0.0,0.0031802916199527628,0.005930512073931627,0.0,0.45438868639477487,0.004409715806034468,0.02208216819946828,0.048704707870955766,0.0,0.17400230294588892,0.010159145255223944,0.0
