,Count
Comp_0,14
Comp_1,34
Comp_10,8
Comp_11,9
Comp_12,19
Comp_13,16
Comp_14,9
Comp_15,13
Comp_16,8
Comp_17,5
Comp_18,11
Comp_19,16
Comp_2,47
Comp_20,7
Comp_21,9
Comp_22,13
Comp_23,11
Comp_3,39
Comp_4,22
Comp_5,14
Comp_6,6
Comp_7,23
Comp_8,18
Comp_9,11
