group,Comp_0,Comp_2,Comp_1,Comp_3,Comp_4,Comp_7,Comp_12,Comp_6,Comp_8,Comp_5,Comp_13,Comp_22,Comp_15,Comp_23,Comp_19,Comp_14,Comp_9,Comp_11,Comp_21,Comp_10,Comp_16,Comp_18,Comp_20,Comp_17
Ectoderm,0.22228135808762037,0.0002842998088289246,6.546987854152871e-07,0.19325003108949648,0.14806253075663076,0.0018301694225095631,0.0007122239501649808,0.03303085557188502,1.3652762472368096e-08,1.3036007642631546e-11,0.0890158989958148,0.020395888823797514,0.005706410673009366,0.011075712194767086,0.004783799833729175,0.0344591740843678,0.07816541992067787,0.003071744711373605,0.002075686707110082,0.0631699974372928,0.0549723145214354,0.02330321809862382,0.00490195979957219,0.00545063645703205
Endoderm,0.23126338550239758,0.19971945636219887,0.0028545029577524547,0.0012101407447904417,1.096586003295312e-11,0.0010647567229512434,0.09037608216374234,0.05096990008361199,0.09475760804044078,0.09024142242968786,0.0013713004743482224,0.043992601867128826,0.00913700688103962,0.057684123519800956,0.0012316928631519073,0.026928948340147186,1.2175015753071033e-09,0.002938832561811994,0.048971069114823934,0.000787757432367768,0.0017902057125619127,0.016380760776799237,0.0016994282488301893,0.02462901527536285
Mesoderm,0.19898196345640098,3.047223390234666e-05,0.25420848215395375,3.878540581004588e-05,6.0451138258903717e-05,0.1599158078782052,0.0026122223693841036,0.016901886510420183,0.0016981023588743757,0.001023665978593592,0.0014949453055064072,0.02191198798282096,0.08320257423784902,0.0006376380046401069,0.0941169878654302,0.006242304627660067,0.0005295070736858192,0.07204102232705273,0.007156632654502922,2.8218002691227102e-08,3.56395543997348e-05,0.01685397901572727,0.0603033024409758,1.610536089053288e-06
