group,Comp_0,Comp_2,Comp_1,Comp_3,Comp_4,Comp_7,Comp_12,Comp_6,Comp_8,Comp_5,Comp_13,Comp_22,Comp_15,Comp_23,Comp_19,Comp_14,Comp_9,Comp_11,Comp_21,Comp_10,Comp_16,Comp_18,Comp_20,Comp_17
Digestive System,0.26449499255387937,0.3305627751249139,0.0047903153075051766,0.0006511931921354604,1.8402477629086182e-11,0.001771336078819892,0.003227169073628533,0.057993901522961196,0.15800281519090362,2.578733466772508e-12,0.0023012628549504716,0.06035187090658389,0.014235952129738785,0.033180501547418306,0.0010996096571086922,0.00986906191039495,2.043163561404082e-09,0.00489620830874193,0.005584396256015492,0.0013219837370566122,0.0029447760846244833,0.027489552567866164,0.0028518782385191033,0.012378444968072904
Endocrine System,0.05183737538585146,0.0005287545341330401,6.344487976028227e-12,1.8353821036787425e-05,8.77851899982197e-08,0.001885367232948631,0.0008871508812612898,0.0045058816225818235,4.2736864497103946e-11,0.42486828949825967,6.958331268303847e-18,1.9445571500450478e-11,0.002193558203049391,1.851587323692609e-12,0.0024476470158530214,0.019701092195137743,4.640066555315504e-18,7.726211789497026e-06,5.396692219325153e-17,0.25535338580408284,0.2336458017849469,2.6865943075504953e-20,4.787171362313622e-11,0.002119527251391951
Head and Neck,0.15928220565901408,0.0018676449189619013,2.4376426529293408e-08,1.8166889471235745e-09,2.0216772647741295e-12,1.4148219265804449e-09,7.003357294002141e-07,0.00037245956037211433,8.259249426592046e-15,1.910459596379965e-10,0.00873966304726431,0.19200149314696702,0.006637539532437248,0.16162773294566823,0.052439445964274294,0.251740075958316,1.90893309375143e-10,0.03814763436337614,2.9810157711115024e-08,2.3920048919665446e-12,0.0009359183767430749,9.939921680276737e-14,0.05357301325102698,0.0726344145103193
Integumentary,0.06309506498562319,2.116781887321277e-34,4.228162667189608e-19,1.3880422507764778e-32,1.7375952532120333e-12,8.943908238911535e-27,2.344257480484428e-31,2.8230194999093644e-06,6.95731940093039e-21,3.0127884026672845e-23,3.560376150816426e-19,2.430995541433046e-22,1.983598444555504e-27,2.4760399791684035e-31,2.6807248356730154e-14,3.933828760709654e-23,0.8572960728847403,1.8912813565374206e-14,6.638786161267627e-05,1.958966947732972e-20,4.133981821244352e-20,0.07953965053417233,1.5400199885912853e-13,1.3623745940827096e-22
Nervous System,0.08331157706435702,3.3741435031790383e-20,3.918211319189765e-06,1.0997354382040942e-24,0.8883745614730952,4.2625651944873526e-24,9.383611854312196e-17,0.012988320133612482,2.610417233295879e-22,4.866100195762182e-16,2.9498556840220557e-10,0.00013811773589136317,5.173755259451541e-11,2.170637684840794e-18,0.002086969458009107,0.008977887357861876,0.0013727852469376483,7.273904463540632e-08,2.522758633786029e-21,4.134539817473853e-08,9.668568571104694e-11,5.377385423350273e-11,0.0027426149634126756,3.133020063668153e-06
Reproductive (Female),0.32251814051904043,4.9741641833120476e-05,0.001103976948054659,0.2932004036680426,1.262768672126543e-07,0.002105011112916801,0.0010827653823161224,0.04521509734499308,2.0699307232463865e-08,8.295380956289879e-09,0.13415461271714393,0.030402307762731885,0.09714870188180204,8.444165466583053e-05,0.0014820123600359034,0.016950608225348288,9.34227148592348e-07,0.0007115327375231544,0.003140354447162928,0.004856135542250507,5.634935612466383e-05,0.044532905688546565,0.0012018855600387044,1.9252619103073634e-06
Reproductive (Male),0.20797141358185886,8.755467028138305e-05,2.7937528609505895e-09,0.00011860114896152315,0.00011894252984467173,0.4891542154292066,1.530152459544747e-06,0.017525515910682934,6.175900599513979e-12,0.00017807353149021572,0.001538324506238707,0.004530759646360072,0.015009980695602694,0.000814360007106695,0.01653678708689245,8.044622714941579e-07,4.4807083171892987e-10,0.22036068723447677,0.021492575331742935,8.079867525013831e-08,8.45127361868281e-05,6.766435404313123e-11,0.004475276537704724,3.361231838397795e-11
Respiratory System,0.20698524480448616,0.00930416727914998,1.8340402646625646e-12,0.002791319556188052,2.721829349485861e-19,3.135448123849998e-05,0.30398841516265923,0.058158436781461445,0.002055019820831058,0.0005521180934051746,2.032905387430883e-11,0.027262955883825442,0.0022203527754527364,0.12962331396956356,0.0007047387754493141,0.08511900411225658,3.5507434313820684e-18,7.207979451004884e-05,0.0015435795797733819,4.113685164721246e-14,0.00012033755040746193,4.3266310547659474e-11,0.131741876563212,0.03772568431612932
Urinary System,0.1952225898513274,3.370362166886318e-06,0.462133965869281,2.1809448662516724e-08,3.934863796465624e-05,1.218830363527012e-08,0.0015187110273383155,0.01850526202078824,0.003098292019525586,0.0014209765272606303,0.0018098537842372257,0.0077369376005109744,0.005549111596168698,3.049535991301529e-15,0.16120270931649985,0.001089003932871685,0.0009661179022617002,1.538299607342155e-09,0.11598394412551437,3.2897775661020043e-09,1.4615449594902575e-05,6.552037365773175e-14,0.00797344696174424,0.015731703503721484
