group,Comp_0,Comp_1,Comp_2,Comp_3,Comp_4,Comp_7,Comp_8,Comp_12,Comp_6,Comp_5,Comp_13,Comp_20,Comp_15,Comp_23,Comp_10,Comp_22,Comp_17,Comp_9,Comp_18,Comp_19,Comp_11,Comp_21,Comp_16,Comp_14
Ectoderm,0.19694990347936558,1.6624794317164675e-06,0.0007026603166609417,0.16456832591957132,0.14894713667662743,0.001092852270930238,7.621939723807959e-08,0.0005014495823055897,0.02966854197003056,1.6295102676797957e-09,0.08648699842032873,0.038693171690332075,0.005206424594168848,0.008887197172531665,0.07525522006233794,0.019091707551931385,3.032278329625103e-05,0.07986112091026193,0.003269945166555098,0.016093558382152356,0.002547066905810752,0.008065999491556711,0.05624990682822846,0.057828748811348085
Endoderm,0.2316989131705955,0.0021003861119699217,0.14747582280552715,0.0006908798290883385,0.00024076975097885974,0.00027715962736286085,0.09320527978583515,0.08613412963230492,0.04052572759952643,0.08924271326850702,0.0011408403690995603,0.027578866567244908,0.058187954367603274,0.05999553137669233,0.0023001445959711124,0.038163272229482424,0.06505786068764088,3.3016065305662023e-08,0.001643595636768916,0.004309734131523158,0.0033180573432800664,0.046130931381699034,5.696504276625189e-06,0.0005756995409134229
Mesoderm,0.25310968902301945,0.27084418057849313,3.0942464996308246e-05,0.00041258472774189053,7.936545220052277e-06,0.17163556827985935,0.0011158447390583982,0.00472484508991047,0.03354098467413545,0.001726154811996705,0.00242028392852886,0.010308600599343708,0.012669706477827237,2.811643128921543e-05,5.524693280201325e-09,0.017261440658230216,0.0014669770256871067,0.00045526424281199434,0.08314698965411041,0.061650196455449446,0.07053449825106621,0.002191774299216007,0.000548581759294279,0.00016883304663582694
