,Count
Comp_0,26
Comp_1,36
Comp_10,7
Comp_11,11
Comp_12,19
Comp_13,15
Comp_14,7
Comp_15,9
Comp_16,9
Comp_17,17
Comp_18,15
Comp_19,11
Comp_2,36
Comp_20,15
Comp_21,10
Comp_22,21
Comp_23,8
Comp_3,43
Comp_4,22
Comp_5,14
Comp_6,7
Comp_7,24
Comp_8,17
Comp_9,5
