group,Comp_0,Comp_1,Comp_3,Comp_2,Comp_4,Comp_7,Comp_8,Comp_12,Comp_22,Comp_6,Comp_13,Comp_5,Comp_17,Comp_14,Comp_18,Comp_19,Comp_11,Comp_20,Comp_16,Comp_21,Comp_23,Comp_15,Comp_10,Comp_9
Digestive System,0.2571848014756421,0.004932355846445079,0.00026459295445707367,0.2651524495368367,3.171282191987547e-12,0.0005992976272810314,0.14790778404857727,0.00014824226694902092,0.049817917164853176,0.04053163666127259,0.0035760629802354896,7.477939754347123e-13,0.11955077326801394,0.059645540393478504,0.00516523172605149,0.01925022643079307,0.006938135768947368,0.00104130776706471,2.3605034042125975e-07,5.519283322238355e-05,0.017405080587867633,0.0008331267724010955,7.137522822088623e-09,3.656284466630395e-12
Endocrine System,0.04177564843222733,4.099924695992894e-12,0.00014313002822496148,0.0007375816058049216,4.933451550430977e-05,0.0022488917450875817,1.570919684202974e-12,0.00028621522671537237,1.1759991545332838e-15,0.005014727548305371,2.0381870708102057e-15,0.41427423860638557,6.53315534638932e-06,0.01097742404979798,0.001977209194455116,1.4157243828101695e-15,0.0009734735196809018,0.0013201697981252364,0.26327301837055955,7.568081014219077e-15,1.1643181895045475e-06,0.25694123544478475,2.0117211589962803e-16,3.772193000241174e-09
Head and Neck,0.2150305687675589,4.928560790021653e-07,2.772784505989088e-12,0.0010576079771085411,1.5639759221601876e-07,2.2100246509681646e-08,0.014210136541119649,2.734076215838508e-05,0.22454915950971607,0.08917281867181974,0.021300273244383314,3.301385168423024e-08,1.758335972938251e-05,0.08749573330302392,0.06846828435332725,0.1855080667985829,0.04791845971058599,0.04398575884628733,0.0001465449418681772,6.144054150504292e-07,0.0010883810960621242,1.9043496122770044e-05,2.875058757140299e-06,4.410959686610063e-08
Integumentary,0.021151582922041376,5.6128332448111105e-18,1.8202325467560088e-20,1.4745779977460338e-22,7.201840655948359e-16,4.467628115010704e-20,1.0331036230776616e-26,1.6748323486031573e-18,1.817123905966307e-19,2.078890045928697e-09,0.0012713118355798189,1.7035857084659213e-17,2.1109911581538032e-18,5.882487156236319e-09,0.0005264995717135058,3.901089683565349e-09,8.102795218713058e-18,1.1571224411927496e-16,4.84756783991646e-20,3.45513929061585e-21,0.1492616196524929,1.7757575880980796e-21,0.5559143022137374,0.2718746713994474
Nervous System,0.07605079949227812,1.2457476609779215e-08,5.5622132752129076e-24,1.508591482094887e-22,0.8957163322804266,1.0138888348383661e-20,1.84142369201993e-21,1.61279133322182e-17,8.624760929854631e-18,0.01651992343114772,2.3333831853380583e-06,1.292741524535877e-15,3.1906691325851308e-22,0.0054978235475539265,1.591207488746364e-06,0.001386157143376184,3.6875048986784816e-09,3.152950677163724e-05,4.813158619623673e-10,3.766517315283261e-21,6.254207427996467e-09,1.4519971287343863e-08,0.004793447114462298,2.475092753690681e-08
Reproductive (Female),0.30094369673120974,0.0012628563567052443,0.31112998528129654,0.00012219350324426607,1.1944448063550454e-07,0.0038490939291870563,4.092369103913024e-09,0.0012075488277790412,0.020548134325159305,0.030968047418619873,0.140493432357771,2.469697308009664e-06,0.000463608919791576,0.03170532319966042,0.10353689878228714,0.00022555744789648315,0.0017005877754269832,0.0009161934355684069,0.003774778658069532,0.0032349488690233633,0.03510091678944972,1.404704380886544e-05,0.002284228773892029,0.006515327638515106
Reproductive (Male),0.1384432433654924,9.875921860949153e-05,0.0009716328176719421,1.7451048884456994e-08,0.0014446442509046772,0.5526231859861812,2.895215694512774e-13,4.475651195200728e-08,0.004719115704574383,0.010083153703800994,0.0037786116440947496,0.0020177745666441886,0.0011250368660624065,0.025989589877784502,1.1978000674481705e-05,0.0017794352999017115,0.22378831840758412,0.01201734202106703,0.00031588434773995727,0.014501214740337273,0.006241088354419029,4.1602294469477474e-05,2.0181306469800233e-09,8.32357544821575e-06
Respiratory System,0.26138875850304605,2.732783689581998e-10,0.0028927911583593075,0.0003156436573338087,2.6538486172169244e-10,0.0001471676318869203,0.021391400177295856,0.30199018409375583,0.12117440524293074,0.093096507140013,2.0000348982223727e-07,2.4845340810599824e-05,0.015682761453096754,0.0181383062156877,3.858557671945043e-08,0.12581601246177315,0.013669798654171705,6.923670490531573e-05,6.75774207279133e-06,0.006748278000009027,0.017446745350530708,5.764887314303113e-13,1.5769959192271364e-07,2.980435743862142e-09
Urinary System,0.20144185601136516,0.45309248936251884,1.352750214312133e-07,0.001158682800866176,2.1698827143322878e-07,4.0413458733608147e-07,0.000813022989745656,0.0029451751077630936,0.0007927115589639641,0.014325496980849999,0.004074351918945254,0.0015097824757583371,0.0005844908012411673,0.001868074664028201,0.0038039124021396376,0.01180429217497171,0.00012118896601520982,0.16397236147901054,7.126701487464826e-05,0.12528074514580093,6.7744751631814424e-09,3.8287984537893655e-08,4.2171645040913555e-10,0.012339295573012358
