original_index,sample_id
81,TCGA-A2-A4RX-01A
196,TCGA-A6-A565-01A
116,TCGA-A6-A566-01A
26,TCGA-A6-A567-01A
106,TCGA-A6-A56B-01A
85,TCGA-A7-A0CH-01A
63,TCGA-A7-A0D9-01A
59,TCGA-A7-A13E-01A
201,TCGA-A7-A13F-01A
204,TCGA-A8-A06N-01A
67,TCGA-A8-A08J-01A
203,TCGA-A8-A094-01A
164,TCGA-AA-A00E-01A
199,TCGA-AA-A00J-01A
195,TCGA-AA-A00L-01A
70,TCGA-AA-A00Q-01A
107,TCGA-AA-A00W-01A
68,TCGA-AA-A010-01A
158,TCGA-AA-A01D-01A
114,TCGA-AA-A01P-01A
160,TCGA-AA-A01R-01A
12,TCGA-AA-A01S-01A
157,TCGA-AA-A01X-01A
84,TCGA-AA-A022-01A
103,TCGA-AA-A024-01A
86,TCGA-AA-A02E-01A
108,TCGA-AA-A02F-01A
166,TCGA-AD-6889-01A
224,TCGA-AO-A03L-01A
53,TCGA-AO-A03N-01B
358,TCGA-AO-A0J5-01A
120,TCGA-AO-A0J8-01A
96,TCGA-AO-A0JB-01A
327,TCGA-AO-A0JG-01A
239,TCGA-AO-A0JM-01A
326,TCGA-AO-A124-01A
331,TCGA-AO-A12D-01A
102,TCGA-AO-A12F-01A
97,TCGA-AP-A051-01A
369,TCGA-AQ-A04L-01A
356,TCGA-AR-A0TP-01A
100,TCGA-AR-A0TV-01A
101,TCGA-AR-A0U0-01A
121,TCGA-AR-A0U4-01A
92,TCGA-AY-A54L-01A
357,TCGA-AY-A69D-01A
332,TCGA-AY-A71X-01A
91,TCGA-AY-A8YK-01A
99,TCGA-B1-A47N-01A
79,TCGA-B1-A654-01A
119,TCGA-B2-A4SR-01A
93,TCGA-B5-A0JN-01A
122,TCGA-B5-A0JT-01A
90,TCGA-B5-A0K9-01A
78,TCGA-B5-A0KB-01A
87,TCGA-B5-A11Y-01A
288,TCGA-B8-A54E-01A
13,TCGA-B8-A54F-01A
